level_2,level_5,dataset_type,ay,dev,Expr1
N06K1,ATT,PAID,1999,144,72022546.06
N06K1,ATT,PAID,1999,156,72040631.57
N06K1,ATT,PAID,1999,168,72036128.47
N06K1,ATT,PAID,1999,180,72034007.99
N06K1,ATT,PAID,1999,192,72034007.99
N06K1,ATT,PAID,1999,204,72066627.8
N06K1,ATT,PAID,1999,216,72066627.8
N06K1,ATT,PAID,2000,120,29724129.5
N06K1,ATT,PAID,2000,132,29726668.29
N06K1,ATT,PAID,2000,144,30073361.45
N06K1,ATT,PAID,2000,156,30073361.45
N06K1,ATT,PAID,2000,168,30073361.45
N06K1,ATT,PAID,2000,180,30073361.45
N06K1,ATT,PAID,2000,192,30073374.19
N06K1,ATT,PAID,2000,204,30073374.19
N06K1,ATT,PAID,2001,108,48748879.61
N06K1,ATT,PAID,2001,120,48826266.91
N06K1,ATT,PAID,2001,132,48840608.58
N06K1,ATT,PAID,2001,144,48814299.36
N06K1,ATT,PAID,2001,156,48725508.63
N06K1,ATT,PAID,2001,168,49151184.04
N06K1,ATT,PAID,2001,180,49146373.79
N06K1,ATT,PAID,2001,192,49146373.79
N06K1,ATT,PAID,2002,96,19447883.98
N06K1,ATT,PAID,2002,108,19443206.81
N06K1,ATT,PAID,2002,120,19509370.16
N06K1,ATT,PAID,2002,132,20003402.66
N06K1,ATT,PAID,2002,144,20006429.36
N06K1,ATT,PAID,2002,156,19983929.36
N06K1,ATT,PAID,2002,168,20119667.28
N06K1,ATT,PAID,2002,180,20082162.53
N06K1,ATT,PAID,2003,84,1952003.683
N06K1,ATT,PAID,2003,96,2331041.611
N06K1,ATT,PAID,2003,108,2295839.134
N06K1,ATT,PAID,2003,120,2285354.662
N06K1,ATT,PAID,2003,132,2278629.663
N06K1,ATT,PAID,2003,144,2278629.663
N06K1,ATT,PAID,2003,156,2391873.052
N06K1,ATT,PAID,2003,168,2408913.582
N06K1,ATT,PAID,2004,72,13040889.42
N06K1,ATT,PAID,2004,84,12995849.43
N06K1,ATT,PAID,2004,96,12457987.32
N06K1,ATT,PAID,2004,108,12687047.43
N06K1,ATT,PAID,2004,120,13092638.9
N06K1,ATT,PAID,2004,132,13121891.72
N06K1,ATT,PAID,2004,144,13187790.8
N06K1,ATT,PAID,2004,156,13187790.8
N06K1,ATT,PAID,2005,60,15651326.39
N06K1,ATT,PAID,2005,72,15634320.08
N06K1,ATT,PAID,2005,84,15759189.92
N06K1,ATT,PAID,2005,96,15760740.35
N06K1,ATT,PAID,2005,108,15787491.71
N06K1,ATT,PAID,2005,120,15766084.07
N06K1,ATT,PAID,2005,132,15803279.43
N06K1,ATT,PAID,2005,144,15748679.05
N06K1,ATT,PAID,2006,48,19926030.13
N06K1,ATT,PAID,2006,60,19455685.33
N06K1,ATT,PAID,2006,72,19350081.97
N06K1,ATT,PAID,2006,84,19458434.96
N06K1,ATT,PAID,2006,96,19512296.93
N06K1,ATT,PAID,2006,108,19507846.65
N06K1,ATT,PAID,2006,120,19514200.36
N06K1,ATT,PAID,2006,132,19517417.8
N06K1,ATT,PAID,2007,36,14264692.14
N06K1,ATT,PAID,2007,48,14901054.5
N06K1,ATT,PAID,2007,60,15565688.89
N06K1,ATT,PAID,2007,72,15652035.43
N06K1,ATT,PAID,2007,84,15663740.22
N06K1,ATT,PAID,2007,96,15675924.48
N06K1,ATT,PAID,2007,108,15873956.79
N06K1,ATT,PAID,2007,120,15847899.5
N06K1,ATT,PAID,2008,24,12888648.52
N06K1,ATT,PAID,2008,36,15959212.41
N06K1,ATT,PAID,2008,48,17759243.15
N06K1,ATT,PAID,2008,60,18782205.05
N06K1,ATT,PAID,2008,72,18968963.53
N06K1,ATT,PAID,2008,84,18630280.15
N06K1,ATT,PAID,2008,96,18937352.62
N06K1,ATT,PAID,2008,108,18858016.23
N06K1,ATT,PAID,2009,12,5889843.488
N06K1,ATT,PAID,2009,24,18826674.47
N06K1,ATT,PAID,2009,36,21496726.86
N06K1,ATT,PAID,2009,48,22469054.15
N06K1,ATT,PAID,2009,60,23573315.33
N06K1,ATT,PAID,2009,72,23663404.74
N06K1,ATT,PAID,2009,84,24150469.01
N06K1,ATT,PAID,2009,96,24470099.84
N06K1,ATT,PAID,2010,12,6068108.129
N06K1,ATT,PAID,2010,24,18520765.13
N06K1,ATT,PAID,2010,36,20968479.29
N06K1,ATT,PAID,2010,48,22225792.27
N06K1,ATT,PAID,2010,60,22535518.52
N06K1,ATT,PAID,2010,72,22976417.54
N06K1,ATT,PAID,2010,84,23206344.28
N06K1,ATT,PAID,2011,12,2256061.863
N06K1,ATT,PAID,2011,24,6885555.186
N06K1,ATT,PAID,2011,36,9672538.118
N06K1,ATT,PAID,2011,48,10704195.83
N06K1,ATT,PAID,2011,60,11540244.52
N06K1,ATT,PAID,2011,72,11734439.74
N06K1,ATT,PAID,2012,12,2526194.921
N06K1,ATT,PAID,2012,24,8371474.119
N06K1,ATT,PAID,2012,36,10165928.64
N06K1,ATT,PAID,2012,48,11311072.68
N06K1,ATT,PAID,2012,60,11275807.99
N06K1,ATT,PAID,2013,12,3280338.42
N06K1,ATT,PAID,2013,24,10871723.69
N06K1,ATT,PAID,2013,36,14394698.18
N06K1,ATT,PAID,2013,48,15737749.57
N06K1,ATT,PAID,2014,12,3328106.019
N06K1,ATT,PAID,2014,24,11632799.3
N06K1,ATT,PAID,2014,36,14297700.57
N06K1,ATT,PAID,2015,12,2112062.919
N06K1,ATT,PAID,2015,24,8772798.13
N06K1,ATT,PAID,2016,12,2568454.509
N06K1,CAT,CASE,2003,84,0
N06K1,CAT,CASE,2003,96,0
N06K1,CAT,CASE,2003,108,0
N06K1,CAT,CASE,2003,120,0
N06K1,CAT,CASE,2003,132,0
N06K1,CAT,CASE,2003,144,0
N06K1,CAT,CASE,2003,156,0
N06K1,CAT,CASE,2003,168,16550
N06K1,CAT,CASE,2007,36,3200
N06K1,CAT,CASE,2007,48,0
N06K1,CAT,CASE,2007,60,0
N06K1,CAT,CASE,2007,72,0
N06K1,CAT,CASE,2007,84,0
N06K1,CAT,CASE,2007,96,0
N06K1,CAT,CASE,2007,108,0
N06K1,CAT,CASE,2007,120,0
N06K1,CAT,CASE,2009,12,21000
N06K1,CAT,CASE,2009,24,16119
N06K1,CAT,CASE,2009,36,0
N06K1,CAT,CASE,2009,48,0
N06K1,CAT,CASE,2009,60,0
N06K1,CAT,CASE,2009,72,0
N06K1,CAT,CASE,2009,84,0
N06K1,CAT,CASE,2009,96,0
N06K1,CAT,CASE,2010,12,11520000
N06K1,CAT,CASE,2010,24,2700524
N06K1,CAT,CASE,2010,36,70805
N06K1,CAT,CASE,2010,48,0
N06K1,CAT,CASE,2010,60,0
N06K1,CAT,CASE,2010,72,0
N06K1,CAT,CASE,2010,84,0
N06K1,CAT,CASE,2015,12,11165140
N06K1,CAT,CASE,2015,24,34861
N06K1,CAT,PAID,2003,84,10133704.67
N06K1,CAT,PAID,2003,96,10143676.87
N06K1,CAT,PAID,2003,108,10152625.99
N06K1,CAT,PAID,2003,120,10159926.11
N06K1,CAT,PAID,2003,132,10160556.17
N06K1,CAT,PAID,2003,144,10163995.74
N06K1,CAT,PAID,2003,156,10163995.74
N06K1,CAT,PAID,2003,168,10169183.51
N06K1,CAT,PAID,2007,36,765597.4175
N06K1,CAT,PAID,2007,48,765597.4175
N06K1,CAT,PAID,2007,60,765597.4175
N06K1,CAT,PAID,2007,72,765597.4175
N06K1,CAT,PAID,2007,84,765597.4175
N06K1,CAT,PAID,2007,96,765597.4175
N06K1,CAT,PAID,2007,108,765597.4175
N06K1,CAT,PAID,2007,120,765597.4175
N06K1,CAT,PAID,2009,12,10010700
N06K1,CAT,PAID,2009,24,10053693.67
N06K1,CAT,PAID,2009,36,10053693.67
N06K1,CAT,PAID,2009,48,10053729.16
N06K1,CAT,PAID,2009,60,10053729.16
N06K1,CAT,PAID,2009,72,10053729.16
N06K1,CAT,PAID,2009,84,10053729.16
N06K1,CAT,PAID,2009,96,10053729.16
N06K1,CAT,PAID,2010,12,0
N06K1,CAT,PAID,2010,24,10597440
N06K1,CAT,PAID,2010,36,13329984
N06K1,CAT,PAID,2010,48,13400789
N06K1,CAT,PAID,2010,60,13400789
N06K1,CAT,PAID,2010,72,13400789
N06K1,CAT,PAID,2010,84,13400789
N06K1,CAT,PAID,2015,12,34860.5
N06K1,CAT,PAID,2015,24,14149043.32
N06K1,LC,CASE,1995,180,22920
N06K1,LC,CASE,1995,192,22376
N06K1,LC,CASE,1995,204,21635
N06K1,LC,CASE,1995,216,21581
N06K1,LC,CASE,1995,228,21157
N06K1,LC,CASE,1995,240,5766
N06K1,LC,CASE,1995,252,2002
N06K1,LC,CASE,1995,264,9213
N06K1,LC,CASE,1996,168,270
N06K1,LC,CASE,1996,180,270
N06K1,LC,CASE,1996,192,270
N06K1,LC,CASE,1996,204,270
N06K1,LC,CASE,1996,216,0
N06K1,LC,CASE,1996,228,0
N06K1,LC,CASE,1996,240,0
N06K1,LC,CASE,1996,252,0
N06K1,LC,CASE,1997,156,5157
N06K1,LC,CASE,1997,168,44259
N06K1,LC,CASE,1997,180,0
N06K1,LC,CASE,1997,192,0
N06K1,LC,CASE,1997,204,0
N06K1,LC,CASE,1997,216,0
N06K1,LC,CASE,1997,228,0
N06K1,LC,CASE,1997,240,0
N06K1,LC,CASE,1998,144,2226
N06K1,LC,CASE,1998,156,2226
N06K1,LC,CASE,1998,168,0
N06K1,LC,CASE,1998,180,0
N06K1,LC,CASE,1998,192,0
N06K1,LC,CASE,1998,204,0
N06K1,LC,CASE,1998,216,0
N06K1,LC,CASE,1998,228,0
N06K1,LC,CASE,1999,132,0
N06K1,LC,CASE,1999,144,0
N06K1,LC,CASE,1999,156,0
N06K1,LC,CASE,1999,168,0
N06K1,LC,CASE,1999,180,0
N06K1,LC,CASE,1999,192,0
N06K1,LC,CASE,1999,204,0
N06K1,LC,CASE,1999,216,0
N06K1,LC,CASE,2000,120,239800
N06K1,LC,CASE,2000,132,180258
N06K1,LC,CASE,2000,144,210000
N06K1,LC,CASE,2000,156,0
N06K1,LC,CASE,2000,168,0
N06K1,LC,CASE,2000,180,0
N06K1,LC,CASE,2000,192,0
N06K1,LC,CASE,2000,204,0
N06K1,LC,CASE,2001,108,121054
N06K1,LC,CASE,2001,120,102119
N06K1,LC,CASE,2001,132,102119
N06K1,LC,CASE,2001,144,11608
N06K1,LC,CASE,2001,156,473303
N06K1,LC,CASE,2001,168,0
N06K1,LC,CASE,2001,180,0
N06K1,LC,CASE,2001,192,0
N06K1,LC,CASE,2002,96,508728
N06K1,LC,CASE,2002,108,508728
N06K1,LC,CASE,2002,120,514300
N06K1,LC,CASE,2002,132,503091
N06K1,LC,CASE,2002,144,500071
N06K1,LC,CASE,2002,156,526779
N06K1,LC,CASE,2002,168,524133
N06K1,LC,CASE,2002,180,704069
N06K1,LC,CASE,2003,84,830276
N06K1,LC,CASE,2003,96,190880
N06K1,LC,CASE,2003,108,192819
N06K1,LC,CASE,2003,120,1083085
N06K1,LC,CASE,2003,132,190186
N06K1,LC,CASE,2003,144,188386
N06K1,LC,CASE,2003,156,19354
N06K1,LC,CASE,2003,168,19354
N06K1,LC,CASE,2004,72,2056346
N06K1,LC,CASE,2004,84,794498
N06K1,LC,CASE,2004,96,847816
