Year,NrPolicy,NrObject,Dt_Exp_Start,Dt_Exp_End,Time_on_book,Customer_Type,D_age,D_age_banded,BonusMalus,D_ZIP,Nr_payments,VEH_type,Veh_type1,Veh_type2,VEH_brand,Construct_year,Capacity,Nr_of_seats,Premium_earned,Sum_insured
2016,3243488,1,01/01/2016,31/12/2016,8,C,38,35 <=  x < 40,16,3780,1,1,private car,CAR,053,2011,2488,5,247.00800702,9710.9589041
2016,3243633,1,01/01/2016,20/12/2016,8,C,44,40 <=  x < 45,9,8000,1,5,commercial car <3100 kg,PICKUP,049,2007,2835,7,284.27504432,6578.0821918
2016,3243722,1,01/01/2016,14/09/2016,8,C,57,55 <=  x < 60,10,1990,1,6,commercial car <3500 kg,PICKUP,240,2011,2800,3,146.6424811,7797.830137
2016,3244072,1,01/01/2016,26/09/2016,8,C,52,50 <=  x < 55,5,4700,1,1,private car,CAR,003,2009,1595,5,0,9569.1968433
2016,3244565,1,01/01/2016,12/07/2016,7,C,47,45 <=  x < 50,6,7700,1,1,private car,CAR,015,2009,1527,2,83.941791781,3066.2876712
2016,3244650,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,9,1069,1,51,driving school car,CAR,056,2011,1686,5,45.879590231,8506.8493151
2016,3244947,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,2,5300,1,6,commercial car <3500 kg,PICKUP,079,2009,2986,6,259.39599125,7481.490411
2016,3245060,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,10,2001,1,56,truck 10 to 20 tn,TRUCK,084,2006,12130,2,23.249017108,1770.9589041
2016,3245265,1,01/01/2016,31/12/2016,8,C,43,40 <=  x < 45,14,1990,1,5,commercial car <3100 kg,PICKUP,083,2009,2461,3,0,5183.9383562
2016,3245957,1,01/01/2016,18/10/2016,8,S,59,55 <=  x < 60,4,7500,1,1,private car,CAR,008,2006,2497,5,332.4695863,10940.547945
2016,3246016,1,01/01/2016,14/03/2016,7,S,42,40 <=  x < 45,14,2910,1,1,private car,CAR,056,2014,1700,5,61.85140274,15561.986301
2016,3246220,1,01/01/2016,23/09/2016,8,C,47,45 <=  x < 50,17,4690,1,1,private car,CAR,083,2009,1400,5,169.84467123,7079.8561644
2016,3246257,1,01/01/2016,31/12/2016,8,S,60,60 <=  x < 65,8,4820,1,1,private car,CAR,008,2006,2497,5,377.02106295,9152.8767123
2016,3246428,1,01/01/2016,31/12/2016,8,C,49,45 <=  x < 50,15,7350,1,1,private car,CAR,008,2014,1995,5,643.15705016,21644.383562
2016,3246568,1,01/01/2016,28/03/2016,7,C,37,35 <=  x < 40,16,2780,1,1,private car,CAR,057,2012,1997,5,82.788356164,9715.5616438
2016,3246711,1,01/01/2016,31/12/2016,8,C,67,65 <=  x < 70,14,4575,2,1,private car,CAR,047,2005,2497,5,226.66411878,2949.8917808
2016,3246730,1,01/01/2016,12/10/2016,8,C,62,60 <=  x < 65,11,7100,1,1,private car,CAR,015,2009,1868,2,58.845422466,2579.3424658
2016,3246922,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,0,3781,1,1,private car,CAR,023,2009,1910,2,228.88530424,10138.421816
2016,3247004,1,01/01/2016,31/12/2016,8,C,57,55 <=  x < 60,9,7700,1,1,private car,CAR,083,2008,1718,2,122.3841157,3388.7666849
