NrPolicy,NrObject,NrClaim,Date_of_loss,Paid,Reserves,Settlement_date
3037083,1,3437401,11/05/2013,3970.8929876,0,
3038206,1,3525352,05/03/2014,9817.072286,0,
3042008,1,3546849,12/12/2013,978.9459239,0,
3042390,1,3717248,24/02/2015,2498.72526,0,
3045643,1,3826767,14/07/2016,3092.6907,0,
3046571,1,3344319,21/06/2012,1420.4817861,0,31/05/2015
3047891,1,3276059,23/07/2012,1452.3186249,0,27/07/2015
3048744,1,3252075,12/03/2012,2831.6497764,0,10/03/2015
3049013,25,3798826,10/03/2016,249.8216,0,
3049468,1,3766983,02/02/2016,1257.5079,0,
3049525,1,3448218,20/02/2013,969.77386,0,
3049764,1,3606568,02/12/2014,862.148322,0,
3050695,1,3326721,01/06/2012,1355.883388,0,03/06/2015
3052917,1,3871434,12/09/2016,2780.6031,0,
3053082,1,3359854,27/11/2012,6119.12136,0,30/11/2015
3053194,1,3830658,02/05/2016,653.5485,0,
3053518,1,3380060,08/01/2013,959.4626888,0,
3053578,1,3279529,02/07/2012,754.1142336,0,25/06/2015
3053906,2,3255535,23/01/2012,2157.1188366,0,27/01/2015
3055990,1,3513013,09/12/2013,5465.8948946,0,
3056591,1,3292368,19/03/2012,9575.28,0,27/02/2015
3058306,1,3473297,19/10/2013,1927.529758,0,
3059683,1,3364348,30/10/2012,1392.5808468,0,02/11/2015
3059722,1,3345953,19/10/2012,2633.86695,0,28/10/2015
3060270,1,3850637,02/08/2016,579.4152,1882.3976,
3061593,1,3294253,06/09/2012,3235.1314242,0,17/09/2015
3061938,1,3573526,24/08/2014,14.5383,0,
3062825,1,3913816,16/09/2016,190.67,0,
3062877,1,3849696,26/06/2016,1358.1909,0,
3063330,1,3918842,08/08/2016,507.1598,0,
3063785,1,3834655,03/12/2015,715.3628,0,
3065510,1,3473238,12/07/2013,8355.9240614,0,
3065512,1,3204298,06/01/2012,1030.52742,0,24/12/2014
3066139,1,3401194,10/12/2012,2240.3212326,0,19/12/2015
3066807,1,3374649,07/10/2012,62.0023536,0,25/10/2015
3067896,1,3553948,27/04/2014,8674.79726,0,
3068302,1,3249930,08/03/2012,136.8704064,0,26/02/2015
3069322,1,3746814,31/01/2015,201.6172302,0,
3069430,1,3321337,24/11/2012,10884.01041,0,10/12/2015
3069611,1,3824012,02/02/2016,1775.6305,0,
3070884,1,3237600,23/03/2012,3683.3921124,0,27/03/2015
3071068,1,3539372,03/12/2013,1520.74807,0,
3072871,1,3785945,11/03/2016,3482.45,0,
3073125,1,3905397,14/12/2016,2192.5233,237.9267,
3073835,1,3507464,20/09/2013,16944.844079,0,
