Business,ClaimSize,dataset_type,ay,dy,SumOfamount
House,Large,PAID,2012,1,12919031.24
House,Large,PAID,2012,2,30962064.74
House,Large,PAID,2012,3,35421736.3
House,Large,PAID,2012,4,36576285.93
House,Large,PAID,2012,5,36774882.64
House,Large,PAID,2013,1,4400702.349
House,Large,PAID,2013,2,22504833.78
House,Large,PAID,2013,3,27174055.27
House,Large,PAID,2013,4,30233926.01
House,Large,PAID,2014,1,1419602.26
House,Large,PAID,2014,2,11298263.57
House,Large,PAID,2014,3,14292854.55
House,Large,PAID,2015,1,3307690.142
House,Large,PAID,2015,2,19847173.7
House,Large,PAID,2016,1,7186718.933
House,Small,CASE,2007,3,4219042.07
House,Small,CASE,2007,4,2043460.63
House,Small,CASE,2007,5,1854192.2
House,Small,CASE,2007,6,981660.24
House,Small,CASE,2007,7,544449.74
House,Small,CASE,2007,8,761068.74
House,Small,CASE,2007,9,75747.3998
House,Small,CASE,2007,10,239835.55
House,Small,CASE,2008,2,9804001.82
House,Small,CASE,2008,3,5341840.48
House,Small,CASE,2008,4,4921399.88
House,Small,CASE,2008,5,1614288.48
House,Small,CASE,2008,6,1117570.64
House,Small,CASE,2008,7,760332.76
House,Small,CASE,2008,8,263050.5499
House,Small,CASE,2008,9,143917.65
House,Small,CASE,2009,1,14533228.84
House,Small,CASE,2009,2,8610537.65
House,Small,CASE,2009,3,4352963.44
House,Small,CASE,2009,4,4407851.43
House,Small,CASE,2009,5,1701436.98
House,Small,CASE,2009,6,1323406.07
House,Small,CASE,2009,7,1291877.86
House,Small,CASE,2009,8,354225.6899
House,Small,CASE,2010,1,15843435.92
House,Small,CASE,2010,2,10382199.52
House,Small,CASE,2010,3,5577658.792
House,Small,CASE,2010,4,4271171.903
House,Small,CASE,2010,5,2396157.392
House,Small,CASE,2010,6,816041.8699
House,Small,CASE,2010,7,319821.8201
House,Small,CASE,2011,1,10895585.32
House,Small,CASE,2011,2,6802351.983
House,Small,CASE,2011,3,3069642.513
House,Small,CASE,2011,4,1658757.593
House,Small,CASE,2011,5,711423.7701
House,Small,CASE,2011,6,110040.27
House,Small,CASE,2012,1,9367316.05
House,Small,CASE,2012,2,5530541.32
House,Small,CASE,2012,3,2399240.95
House,Small,CASE,2012,4,936616.6601
House,Small,CASE,2012,5,463030.27
House,Small,CASE,2013,1,11055437.32
House,Small,CASE,2013,2,6590286.25
House,Small,CASE,2013,3,3069822.34
House,Small,CASE,2013,4,1054032.28
House,Small,CASE,2014,1,11654060.25
House,Small,CASE,2014,2,5954751.2
House,Small,CASE,2014,3,2505277.47
House,Small,CASE,2015,1,11164016.55
House,Small,CASE,2015,2,6462940.57
House,Small,CASE,2016,1,7892906.26
House,Small,PAID,2007,3,14264692.14
House,Small,PAID,2007,4,14901054.5
House,Small,PAID,2007,5,15565688.89
House,Small,PAID,2007,6,15652035.43
House,Small,PAID,2007,7,15663740.22
House,Small,PAID,2007,8,15675924.48
House,Small,PAID,2007,9,15873956.79
