Year,NrPolicy,NrObject,Dt_Exp_Start,Dt_Exp_End,Time_on_book,Customer_Type,D_age,D_age_banded,BonusMalus,D_ZIP,Nr_payments,VEH_type,Veh_type1,Veh_type2,VEH_brand,Construct_year,Capacity,Nr_of_seats,Premium_earned,Sum_insured
2013,4180165,1,30/10/2013,31/12/2013,1,C,74,70 <=  x < 75,10,2490,1,1,private car,CAR,064,2007,1870,2,15.901890411,676.80762295
2013,4180224,1,08/10/2013,31/12/2013,1,C,54,50 <=  x < 55,14,2510,1,1,private car,CAR,083,2013,1968,5,110.61969863,7663.9344262
2014,4180225,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,11,2200,1,5,commercial car <3100 kg,PICKUP,015,2013,2178,3,270.84088055,18585.622918
2014,4180251,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,5,7350,1,1,private car,CAR,023,2013,1248,5,228.38487671,11895.180985
2015,4180254,1,01/01/2015,31/12/2015,3,C,56,55 <=  x < 60,12,7700,1,1,private car,CAR,100,2008,3387,4,641.43360624,32547.945205
2014,4180254,2,01/01/2014,31/12/2014,2,S,44,40 <=  x < 45,14,3870,1,1,private car,CAR,056,2013,2000,7,390.07071945,23993.753425
2013,4180295,1,13/10/2013,31/12/2013,1,C,44,40 <=  x < 45,8,2755,1,1,private car,CAR,056,2013,1248,2,43.720569863,2758.0174863
2013,4180367,1,28/10/2013,31/12/2013,1,C,44,40 <=  x < 45,12,9545,1,1,private car,CAR,057,2013,1900,3,62.958982192,4302.8348361
2013,4180451,1,20/10/2013,31/12/2013,1,C,54,50 <=  x < 55,7,2425,1,5,commercial car <3100 kg,PICKUP,049,2004,2477,6,21.688,948.21614754
2013,4180510,1,05/11/2013,29/11/2013,1,C,44,40 <=  x < 45,6,5150,1,1,private car,CAR,024,2007,2496,9,73.3986,870.90163934
2013,4180521,1,01/10/2013,31/12/2013,1,C,44,40 <=  x < 45,0,7350,1,12,motorcycle,MOTORBIKE,097,2013,636,2,26.455167123,2155.4644809
2013,4180593,1,08/11/2013,31/12/2013,1,C,44,40 <=  x < 45,17,4445,1,1,private car,CAR,001,2010,1910,5,41.640657534,3076.052459
2014,4180607,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,15,4784,1,1,private car,CAR,031,2013,1200,5,223.53652055,12402.246575
2015,4180630,1,01/01/2015,31/12/2015,3,C,66,65 <=  x < 70,0,5340,1,6,commercial car <3500 kg,PICKUP,083,2013,2799,3,505.7676,37459.99
2014,4180799,1,01/01/2014,24/05/2014,1,C,75,75 <=  x < 80,5,4495,2,1,private car,CAR,047,2009,2148,5,278.56087912,7719.5890411
2015,4180818,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,11,2200,1,5,commercial car <3100 kg,PICKUP,015,2013,2178,3,228.62119288,11069.963014
2013,4180981,1,26/10/2013,31/12/2013,1,C,44,40 <=  x < 45,10,3520,1,1,private car,CAR,057,2013,1560,5,48.257401644,4179.2622951
2015,4181072,1,01/01/2015,28/10/2015,3,S,42,40 <=  x < 45,14,3886,1,1,private car,CAR,003,2013,1896,5,324.72271233,26974.109589
